Trial,Colony,Day,TrialOnDay,DOW,Date,Hatch,Age,Host,Species,Country,Hu,Time,N,N_Alt,N_Hu,Flow,Notes,Population
40,FA21-40,4,8,M,23-Apr,30-Mar,10,Mbili,GP,Kenya,L,1:40,99,43,9,0.63,,ABK
41,VS11-20,4,2,M,23-Apr,30-Mar,10,Mbili,GP,Kenya,L,11:10,98,42,11,0.63,,KWA
42,FS11-40,4,10,M,23-Apr,30-Mar,10,Mbili,GP,Kenya,L,2:30,100,50,15,0.64,,SHM
43,CK6-15,4,1,M,23-Apr,30-Mar,10,Mbili,GP,Kenya,L,10:45,100,40,17,0.63,,KAK
44,VK11-20,4,5,M,23-Apr,30-Mar,10,Mbili,GP,Kenya,L,12:20,98,59,9,0.63,,VMB
45,VK30-40,4,4,M,23-Apr,30-Mar,10,Mbili,GP,Kenya,L,12:00,84,69,3,0.63,,SYL
46,LV23-40,4,11,M,23-Apr,30-Mar,10,Mbili,GP,Gabon,L,2:50,100,41,7,0.64,,LPV
47,LBV2,4,12,M,23-Apr,30-Mar,10,Mbili,GP,Gabon,L,3:10,99,34,17,0.62,,LBV
48,FCV2,4,3,M,23-Apr,30-Mar,10,Mbili,GP,Gabon,L,11:30,100,73,3,0.63,,FCV
49,LF,4,9,M,23-Apr,30-Mar,10,Mbili,GP,Gabon,L,2:00,80,31,7,0.64,,LPF
50,VR11-20B,5,6,W,24-Apr,30-Mar,12,Moja,GP,Kenya,L,12:50,100,21,25,0.64,,RAB
51,FR11-20B,5,9,W,24-Apr,30-Mar,12,Moja,GP,Kenya,L,1:50,100,34,25,0.63,,KBO
52,VA11-20,5,3,W,24-Apr,30-Mar,12,Moja,GP,Kenya,L,11:40,66,12,6,0.64,,GND
53,FA21-40,5,11,W,24-Apr,30-Mar,12,Moja,GP,Kenya,L,2:30,100,20,9,0.64,,ABK
54,VS11-20,5,13,W,24-Apr,30-Mar,12,Moja,GP,Kenya,L,3:10,97,13,43,0.63,,KWA
55,FS11-40,5,2,W,24-Apr,30-Mar,12,Moja,GP,Kenya,L,11:20,100,21,22,0.64,,SHM
