Location	Latitude	Longitude	Region	plotLat	plotLong	code	habitat	regional_habitat	dens2_5min	dens5	dens10	dens15	dens20	dens25	dens30	dens35	dens40	dens45	dens50	dens60	dens70	dens80	dens90	dens100	dens200	dens300	bio15_5	bio15_10	bio15_15	bio15_20	bio15_25	bio15_30	bio15_35	bio15_40	bio15_45	bio15_50	bio15_60	bio15_70	bio15_80	bio15_90	bio15_100	bio15_200	bio15_300	bio18_5	bio18_10	bio18_15	bio18_20	bio18_25	bio18_30	bio18_35	bio18_40	bio18_45	bio18_50	bio18_60	bio18_70	bio18_80	bio18_90	bio18_100	bio18_200	bio18_300	bio.bio1	bio.bio2	bio.bio3	bio.bio4	bio.bio5	bio.bio6	bio.bio7	bio.bio8	bio.bio9	bio.bio10	bio.bio11	bio.bio12	bio.bio13	bio.bio14	bio.bio15	bio.bio16	bio.bio17	bio.bio18	bio.bio19	pref	prob	densCex	bio15col	prefcol
2	Awka	6.2509878	7.00215995	AWK	9	10	AWK	U	urban	359.328948974609	975.206413269043	1062.49126790365	1093.79238033295	1086.13697025694	1130.26311076771	1059.45322342501	1063.43723797268	983.216449705493	900.696930898031	829.095706542969	772.182048755064	720.705759056311	659.069766500722	619.015698248572	586.085239856609	399.812913170242	299.112583188382	72.3414522408502	72.3063439183158	72.3679832700711	72.5105970693882	72.536382163437	72.6722306984153	72.7000697637714	72.7501679340251	72.7569827465231	72.7418659711033	72.7392834154797	72.7371025798368	72.6978128832618	72.6381258654338	72.5401379601011	71.6048219097693	73.9989301463003	231.25	232	232.5625	232.172413793103	233.295454545455	233.236641221374	234.583333333333	235.903361344538	237.496666666667	239.506666666667	242.814126394052	245.572016460905	248.37539766702	251.12719665272	253.846517917512	277.163593300626	260.20277902286	26.9371982566242	9.840913797247	73.6315886193843	119.006160786501	33.1504139735781	19.7848964559621	13.365517517616	25.48566668061	27.4426206665478	28.546069030104	25.48566668061	1712.08620689655	282.827586206897	6.63793103448276	72.5105970693882	733.431034482759	43.7758620689655	232.172413793103	733.431034482759	-0.460684683006345	0.269657658496828	1.78815577987153	#8AB800	#8C6DAE
13	Libreville	0.4259774	9.4483769	LBV	0.4259774	6	LBV	U	urban	1998.25720214844	1998.25717163086	1659.05081176758	1185.83826581196	799.57086424371	541.698553000178	414.331133965565	333.712758075673	274.449913276003	224.984354221958	187.501285972188	135.93153985368	104.179048294438	83.5537291570352	69.3571693082651	58.8189113669272	22.4650269229362	15.0670027688977	67.5385677298966	67.9717941618784	68.4239155711826	68.7556996110891	68.9951357831483	69.1157045446932	69.2767817986774	69.4148356091626	69.5732057293465	69.6785431054099	69.9115485055418	70.1399093846518	70.260924131149	70.1840227100314	70.0092044134723	68.1787522235305	67.41860506011	892.75	887.583333333333	882.32	880.568181818182	877.597014925373	872.046511627907	865.462962962963	859.255639097744	853.159509202454	847.105	835.135888501742	822.971502590674	810.41550695825	798.665629860031	788.759445843829	708.949921259843	646.505476613381	26.2281786022764	5.81556994264776	66.1888008795211	102.453036108913	30.2312530170787	21.4459324750033	8.78532054207542	26.2357753190127	24.8851756110336	27.3235193093618	24.8770322582938	2751.43181818182	479.159090909091	7	68.7556996110891	1205.95454545455	60.6590909090909	880.568181818182	108.25	-0.66061645117292	0.16969177441354	1.71073815876094	#82B300	#7D7CC6
15	LopeVillage	-0.1050309	11.60796015	LOP	4	15	LPV	R	rural	1.26511561870575	1.2651155591011	1.26511551652636	1.26511551312038	1.26511551122196	1.26511551091012	1.27326078011709	1.29317349857754	1.32256815705118	1.34817079594518	1.36395711535004	1.3913102380691	1.42951749649074	1.4853098476916	1.54726015664979	1.59469741416965	3.42142471089435	9.72436216059252	69.6110583462177	69.5464812763458	69.4459842296777	69.3972081793867	69.3212620548993	69.2966545922162	69.2463579183068	69.2027895249908	69.1726054274999	69.1031291836467	69.0036898992619	68.8610514855693	68.7060196150309	68.5518549187455	68.4099909839711	66.4149781727068	65.0317246880358	531.5	542.142857142857	549.142857142857	553.491803278689	557.468085106383	561.036764705882	563.866666666667	565.704641350211	567.716723549488	569.446866485014	572.214421252372	574.746537396122	577.294926004228	578.440267335004	578.801086218602	600.794971972142	606.763801046303	25.6342349768988	7.94797814739206	72.1081996717039	98.7688183306023	30.3045901001477	19.2836721764236	11.0209179237241	25.8652349743035	24.1754535456173	26.5332131359747	24.1754535456173	1726.73770491803	299.508196721311	3.81967213114754	69.3972081793867	740.065573770492	38.9508196721311	553.491803278689	38.9508196721311	-0.713164758988829	0.143417620505585	0.618668028993671	#84B400	#7881CD
14	LopeForest	-0.204279	11.600281	LOP	4	12	LPF	F	rural	1.26511549949646	1.26511553923289	1.26511551539103	1.2651155275457	1.26511551388379	1.26639088210852	1.28289944336827	1.30086771647135	1.31592139463384	1.34287676413854	1.36023958882347	1.3990788712646	1.44564801487843	1.50666500359233	1.56393352706893	1.61082276720136	3.27632581343693	9.53382063417575	69.9463690984796	69.9290083087261	69.8912101710208	69.948042650377	69.8509758188273	69.8158490203844	69.771568482937	69.7457160310911	69.6846979479834	69.5938815221422	69.4359629196943	69.2780263382202	69.124669097676	68.9495755992674	68.7991108846947	66.7712324608638	65.3829931795471	557.333333333333	561	562.147058823529	562.137931034483	563.902173913043	565.293233082707	567.227777777778	568.675105485232	571.403333333333	574.193989071038	577.380681818182	580.719273743017	582.122732123799	582.536974789916	583.320434487441	604.483492171545	610.218934911243	25.5003562919025	7.87701151562833	71.8374668196878	99.3201454203485	30.1328276601331	19.1702068263087	10.9626208338244	25.7337126074166	24.0312758314198	26.4057011385074	24.0312758314198	1750.10344827586	307.224137931034	3.39655172413793	69.948042650377	756.362068965517	36.6896551724138	562.137931034483	36.6896551724138	-0.841873418594627	0.0790632907026865	0.618668029054036	#84B400	#6E8ADC
5	Franceville	-1.63997525	13.582982	FCV	-1.63997525	16	FCV	R	rural	40.0373420715332	40.0373392105103	40.0373388017927	39.9342371996711	38.5388140349553	36.4027238236533	34.9777044754762	32.8125146428744	30.3702941233829	28.1898992477647	26.0689568672675	22.6291210021485	19.6479090270069	16.9063498002888	14.4656605537893	12.5072323589098	6.7725021938027	6.02111263908834	59.8576668620585	59.8012291550999	59.724714654896	59.7209437114934	59.6838806527007	59.6669026632176	59.6587448689127	59.6308099058586	59.6181502835749	59.6725696760085	59.7069681165437	59.7975593489733	59.8697815137186	59.962898445687	60.0599154772219	61.3258610208492	62.6165455857228	624.75	628.428571428571	631.058823529412	633.48275862069	633.733333333333	634.315384615385	634.288888888889	634.661016949153	634.674496644295	634.978142076503	635.785984848485	635.861111111111	635.948827292111	636.203703703704	636.058503401361	619.585245622981	591.302462607645	24.5942557570578	8.36177584220623	76.6291610742389	79.5482921996155	29.5762068978671	18.6653792611484	10.9108276367188	24.6326321897836	23.4766322004384	25.445758627749	23.4766322004384	1866.75862068966	271.844827586207	12.5862068965517	59.7209437114934	730.172413793103	60.4827586206897	633.48275862069	60.4827586206897	-0.873191727053667	0.0634041364731663	0.991817153449125	#71A800	#6B8DE1
25	Entebbe	0.06444	32.44694	ENT	-2	28	ENT	U	urban	1861.40576171875	1666.74602508545	1250.00976235526	885.417945072569	881.751414659288	914.566896149606	1080.87606811523	1176.60880721243	1150.43874578366	1031.18036065783	903.37983570574	714.023792294826	589.190242822619	500.07311152486	449.68327623514	412.131768125566	210.975761450343	223.585002623304	43.6129970159405	42.8089510987345	42.0603049367246	41.6023613395588	41.0645659429986	40.658053901489	40.2880857611904	40.0229058265032	39.8790216392764	39.894110181368	40.075913065212	40.4590780471072	41.0310577894453	41.7095139956276	42.3966494761611	46.8892574980012	48.2978998213733	337.25	353.933333333333	361.323529411765	357.383333333333	362.365591397849	361.977099236641	361.756906077348	362.179487179487	359.810810810811	356.245901639344	350.039473684211	345.379834254144	340.464968152866	335.26218487395	330.430905377808	296.055801292957	264.152403991533	21.7325666361385	8.61504444811079	82.7099364360786	53.8465571677246	26.6909334818522	16.3137999693553	10.3771335124969	22.0753333515591	21.0221888568666	22.3231666300032	20.9760110722648	1505.56666666667	227.333333333333	69.0833333333333	41.6023613395588	599.983333333333	234.65	357.383333333333	246.233333333333	-0.598805711861506	0.200597144069247	1.73543753351078	#4E9300	#8178BF
26	Zika	0.122214	32.526191	ENT	-7	29	ZIK	R	urban	1524.69995117188	1256.23376464844	1382.05033220564	1524.55283641815	1588.70814933029	1705.63851928711	1622.36707118772	1477.25827199517	1262.26959908527	1067.26090139835	926.618277894126	727.601967098644	588.290285620225	508.058875148187	457.61149256426	405.431070091378	218.975635266838	223.048840868263	41.1380074620915	41.0397022847143	40.7977653152046	40.1961464690175	39.745533239342	39.3925569543786	39.1389890833606	38.8971139201211	38.8179428856509	38.8344379082685	39.1294960894698	39.7038275738122	40.4166598629922	41.1876878471156	41.931432443191	46.6433063276939	48.2597084044651	324.5	323.714285714286	336.323529411765	336.431034482759	339.538461538462	341.469696969697	348.405555555556	348.576271186441	349.203333333333	348.18306010929	344.161290322581	341.04469273743	336.529286474973	332.695798319328	327.522063815343	292.110069858579	262.654552323385	21.6823764265269	8.81644255950533	83.0568255870907	54.8336615308658	26.733241508747	16.1524827726956	10.5807587360514	22.0053678106988	20.9433448232453	22.2833448059257	20.9061264114818	1446.25862068966	216.103448275862	68.2068965517241	40.1961464690175	563.413793103448	228.724137931034	336.431034482759	234.98275862069	-0.598805671508005	0.200597164245998	1.88457011103493	#4C9200	#8178BF
7	Kakamega	0.2845454	34.7543336	WKE	4	29	KAK	U	urban	1616.23181152344	1598.24151611328	1011.1574205671	796.60050285235	707.165218849454	715.415455729763	686.834189448875	668.980243073662	653.087709045637	647.851408616057	622.919341901322	568.544258013479	527.82374677649	490.329417445129	470.236847294526	458.496670224883	267.639184622431	203.959758907139	38.2893880549484	38.1970728392345	38.6624366372654	38.872527888356	39.2982920062168	39.5713159947718	39.9658742857697	40.2991700774266	40.7089896595442	41.1879747656282	42.0345434170529	42.6992830230575	43.2730389338142	43.5396921676119	43.744618719639	46.4903471103001	52.3289099625902	333	329.928571428571	329.21875	342.157894736842	342.822222222222	352.145038167939	347.016759776536	346.080508474576	340.274247491639	331.770889487871	314.303370786517	299.74479889043	290.502123142251	284.478114478114	279.961198093941	252.68464024494	250.766377030601	20.39650292773	12.385157873756	83.6899808966322	74.9062402468087	27.9087017126251	13.1129824655098	14.7957192471153	20.4303274768138	21.0329356779132	21.3158479573434	19.4444093759994	1870.47368421053	263.877192982456	65.4561403508772	38.872527888356	684.982456140351	249.578947368421	342.157894736842	511.368421052632	-0.621373496103179	0.18931325194841	1.67977601114331	#488F00	#8079C1
23	Shinyalu	0.22688755	34.8133263	WKE	4	34	SYL	R	urban	951.562072753906	844.816027832031	769.424484362969	773.746579805741	727.4551930921	683.509904675344	644.751031650461	645.798756656201	645.018597005432	633.517790789999	592.743802285406	547.474011579219	513.137586162072	479.628640547143	468.588322892039	453.819387512169	264.243914049597	204.302161279946	36.4856944196497	36.7536656519958	37.5211979876174	38.0533260275212	38.4406972121091	38.9167924162991	39.2257038379706	39.7139648315258	40.122475878999	40.6102469028852	41.5049065693924	42.362373206383	42.9312843103918	43.3041928364406	43.5981584497033	46.5092867559572	52.8523501500299	342.6	368.461538461538	363.702702702703	372.098360655738	371.744680851064	364.656934306569	357.860335195531	346.941666666667	340.447098976109	332.468664850136	316.470363288719	302.409972299169	293.743128964059	289.286310517529	285.233536999321	254.890946152539	253.137229699078	19.9171338954258	11.9542349804946	82.9557255470672	77.5294647827054	27.1617048920178	12.7489836020548	14.412721289963	20.0095081980763	20.5811585103228	20.8676175133127	18.943704954262	1886.67213114754	265.295081967213	69.7377049180328	38.0533260275212	682.770491803279	258.983606557377	372.098360655738	513.622950819672	-0.780625196056497	0.109687401971751	1.68690331660659	#488F00	#7385D5
27	Virembe	0.23893465	34.84780885	WKE	4	39	VMB	R	urban	459.303283691406	562.980997721354	515.48932386509	669.905628367807	671.636900228759	627.915140777509	612.522235426663	602.199078537114	619.405516773209	616.795757758278	588.97079168256	550.551561017888	508.099597392937	475.301981098721	461.956740406784	448.792903616374	262.956366662188	203.771178087115	36.8144135357665	37.1387322446005	37.6941893483688	38.3387211694866	38.715080169998	39.132397192121	39.4054985767758	39.902455038349	40.3057318275937	40.876665509429	41.8721113381026	42.5681020767836	43.0082322961018	43.3200965441558	43.6185235522722	46.5392504409479	53.1241644462816	339	358.571428571429	385.333333333333	378.516666666667	377.670212765957	367.134328358209	359.423076923077	349.089361702128	340.247491638796	333.427397260274	316.979166666667	303.515950069348	295.397883597884	290.450041981528	286.266030013643	253.482658959538	252.407919594952	19.6541388935513	11.6923555586073	82.6777887018704	79.3309626796239	26.7347332954407	12.6008666674296	14.1338666280111	19.7199444346958	20.3207666847441	20.6227111207114	18.659444477823	1868.66666666667	260.9	68.8833333333333	38.3387211694866	672.95	252.5	378.516666666667	521.25	-0.608118180522888	0.195940909738556	1.6667959369465	#488F00	#8178BF
